min,max,mean,sd,median,max_median_distance,min_median_distance,proportion_above_mean,min_index,max_index,crossings,proportion_increasing,file_num,index,previous_L,previous_R,previous_B,label
477.9343047426746,812.2707715149049,573.6749732886368,97.75872430875195,525.8776738763084,286.3930976385965,47.94336913363384,0.25,19,13,4,0.3,257,28,0,0,0,0
437.5982941072304,804.6024375890419,535.6173484565014,123.57260331021367,463.55948633856235,341.0429512504795,25.96119223133195,0.35,13,2,1,0.4,235,38,1,0,0,1
501.23644134495305,768.9564923469193,531.2043875925954,69.1518464115879,506.4657657366663,262.490726610253,5.229324391713249,0.15,9,19,6,0.4,334,5,0,0,0,0
446.1523836779727,802.5684971217113,566.65047226832,105.03925165372755,532.3267521080961,270.2417450136152,86.17436843012342,0.3,19,9,4,0.2,304,34,0,0,0,1
488.2381005349252,565.4256798086599,515.0326078254182,19.546093352732317,506.8108559021622,58.61482390649769,18.572755367236994,0.3,7,15,3,0.45,377,24,0,0,0,0
503.0780414441924,511.8647507597426,506.24293732412514,1.8284335969271972,505.7019009163721,6.162849843370509,2.6238594721796744,0.45,11,4,9,0.4,236,4,0,0,0,0
28.042289709472563,608.0121856146835,464.84114332179416,190.86796978563433,577.7702421054771,30.241943509206408,549.7279523960045,0.65,1,13,2,0.55,303,42,0,1,0,2
222.18341475081925,491.677511834576,430.8006961745342,80.83725561046751,466.2264236364318,25.451088198144248,244.04300888561252,0.75,15,12,6,0.65,27,27,0,0,0,0
496.0156267645408,627.1527748277833,583.0346508509126,36.8589122691569,590.2182665400238,36.93450828775951,94.20263977548302,0.55,0,7,2,0.35,165,30,0,1,0,0
109.55708777964936,577.7810852655089,443.2178596635728,136.26698528452187,462.9181641682394,114.86292109726946,353.36107638859005,0.7,7,17,4,0.7,331,21,0,1,0,2
501.652236387439,555.1441663710141,513.6618001964306,13.856601150831064,508.4747597710798,46.66940659993429,6.822523383640771,0.3,12,2,3,0.35,40,0,0,0,0,0
422.5145607253002,512.1151893259206,485.49854512313215,27.432605111387844,498.09423355823344,14.020955767687155,75.57967283293323,0.65,1,17,3,0.7,150,18,0,0,0,0
502.57268708229526,520.7831612784771,508.4146406938522,4.1983680212501895,508.1778349057404,12.605326372736727,5.605147823445122,0.35,13,3,10,0.5,89,0,0,0,0,0
459.4472469156496,510.2622489151234,494.85764221824195,16.45154511528306,502.11365253742315,8.148596377700244,42.66640562177355,0.7,1,12,4,0.6,369,14,0,0,1,0
455.7609107824129,594.4779546679438,514.8197276117993,33.72607406952404,515.9537723355072,78.52418233243657,60.1928615530943,0.55,13,7,2,0.55,420,11,0,0,0,0
186.1500043159797,517.3043312040785,442.0207353566667,103.4933600098837,501.5739011089702,15.730430095108318,315.4238967929905,0.7,15,6,4,0.5,130,7,0,0,0,0
409.7949994361389,1012.6527620371828,654.7717738425382,175.84543791419162,622.603999028491,390.0487630086918,212.8089995923521,0.3,19,11,4,0.25,179,24,0,0,0,1
19.98790736990757,814.2682730455114,481.5076806769301,245.3504818321733,491.6142227824916,322.65405026301977,471.626315412584,0.6,11,16,4,0.5,377,34,0,0,0,0
501.5167479337371,508.54821426017975,505.03987373633527,1.7224757749156316,504.8830405691201,3.6651736910596355,3.3662926353829903,0.4,17,10,9,0.5,72,2,0,0,0,0
414.9955778003279,600.1128950492296,460.67035566012936,49.81058375946202,446.81153179131263,153.30136325791693,31.815953990984724,0.3,6,1,2,0.6,404,24,1,0,0,0
499.6344151942657,833.9208408567662,535.1349038373071,80.73525426254443,505.4751883998511,328.44565245691507,5.8407732055853785,0.15,4,19,8,0.55,102,5,0,0,0,0
19.980158368298227,1006.5988300727212,447.5849959594069,268.00308599489495,509.48835351139223,497.11047656132894,489.508195143094,0.7,13,19,4,0.55,433,12,0,0,0,0
67.42139149558922,489.8666858921527,418.3028432263624,118.14563007583581,459.6186863524444,30.247999539708303,392.1972948568552,0.85,18,14,2,0.8,415,24,0,0,0,0
