min,max,sd,min_median_distance,min_index,previous_L,previous_R,previous_B,label,file_num,index
463.8842557303083,812.0240432983311,97.86161476949884,61.826280065629646,49,0,0,0,0,257,28
436.84029000687553,810.2774275158774,123.16927474207456,21.291102323095743,31,1,0,0,1,235,38
500.9402482379065,849.4626412758437,76.465644743415,5.4495139274442295,33,0,0,0,0,334,5
441.2104686261118,803.0858408390122,105.44117990687116,95.44341976028994,49,0,0,0,1,304,34
483.0197926793144,568.0461298386916,20.3731266342054,24.870640701339084,17,0,0,0,0,377,24
502.1784142644983,511.8647507597426,1.841863511875228,3.67785490883216,28,0,0,0,0,236,4
24.68260095500553,608.3021927824221,194.3120371383724,552.2071262533478,3,0,1,0,2,303,42
213.8463859728992,491.813888959528,80.65296707355323,250.84281862120565,38,0,0,0,0,27,27
471.2791987707936,629.2131672100928,37.15979904393121,119.85618193213436,1,0,1,0,0,165,30
68.82141418371127,579.0519763603613,137.75090783645228,392.3908906932328,19,0,1,0,2,331,21
500.472717848732,555.1441663710141,13.933534374224124,8.177249121458146,41,0,0,0,0,40,0
412.81392780884346,514.7285122150263,28.79690123643353,85.36275944425029,1,0,0,0,0,150,18
498.5693331686517,522.8681651151405,4.9148082888379,9.4961446910022,49,0,0,0,0,89,0
457.4196195818618,511.6875475260705,16.716080605162592,44.60954049736722,4,0,0,1,0,369,14
449.8941165101624,607.7047691846473,34.19063855211509,67.10508487255237,33,0,0,0,0,420,11
187.47316794481,519.4336560508353,103.53946983662134,314.0130194074934,37,0,0,0,0,130,7
398.6266254012024,1012.8034853661584,175.6699806701763,221.58369107884116,49,0,0,0,1,179,24
19.975202691365965,820.229051896219,246.7204952464715,472.0019499741272,27,0,0,0,0,377,34
501.1169892095816,508.8543092865652,1.7791059830926872,3.904538395748716,42,0,0,0,0,72,2
414.9955778003279,648.2788851620496,52.23933582151967,32.4692161337062,15,1,0,0,0,404,24
498.4847131982833,834.8673439777472,85.67644709584563,6.531532767671592,11,0,0,0,0,102,5
19.94809354284727,1008.676603352504,269.32172938908485,488.14035699351376,31,0,0,0,0,433,12
25.52439366908935,489.8666858921527,119.2114104774077,436.7847764026167,46,0,0,0,0,415,24
401.42659860876336,1012.5963490053562,198.8884073906421,117.08335519753176,41,1,0,0,1,109,125
52.361768467292286,515.2356543026843,146.0492290773176,454.86569720833546,41,0,0,0,0,428,5
430.09452407546326,487.78562883465486,18.568598573044785,28.22791833094925,9,0,0,0,0,257,38
502.2596310965032,512.5459768836828,2.3369632154127524,5.270064496724217,0,0,0,0,0,306,7
483.3942960172207,764.548897596748,62.53696817176269,74.52384816757927,1,0,1,0,0,289,27
383.44204986042905,806.4416957054533,102.7486530021106,103.11414447030506,15,0,0,1,3,157,13
202.9242439912166,520.5758437565368,98.4440453079704,300.4090723541853,35,0,0,0,0,204,6
438.8087462504939,578.8952125476313,30.908901391650254,20.59367058249677,15,1,0,0,1,331,37
