min,max,mean,sd,max_median_distance,min_median_distance,proportion_above_mean,proportion_increasing,previous_L,previous_R,label,file_num,index,previous_B
463.8842557303083,812.0240432983311,574.1792632204255,97.86161476949884,286.3135075023931,61.826280065629646,0.28,0.32,0,0,0,257,28,0
436.84029000687553,810.2774275158774,535.1794643512864,123.16927474207456,352.14603518590616,21.291102323095743,0.34,0.44,1,0,1,235,38,0
500.9402482379065,849.4626412758437,531.3615444725912,76.465644743415,343.072879110493,5.4495139274442295,0.12,0.52,0,0,0,334,5,0
441.2104686261118,803.0858408390122,566.2908616307906,105.44117990687116,266.4319524526105,95.44341976028994,0.3,0.3,0,0,1,304,34,0
483.0197926793144,568.0461298386916,515.955887785979,20.3731266342054,60.155696458038165,24.870640701339084,0.36,0.48,0,0,0,377,24,0
502.1784142644983,511.8647507597426,506.2233598038477,1.841863511875228,6.008481586412131,3.67785490883216,0.4,0.48,0,0,0,236,4,0
24.68260095500553,608.3021927824221,464.0893321595865,194.3120371383724,31.412465574068733,552.2071262533478,0.68,0.54,0,1,2,303,42,0
213.8463859728992,491.813888959528,430.5223490858969,80.65296707355323,27.12468436542315,250.84281862120565,0.76,0.6,0,0,0,27,27,0
471.2791987707936,629.2131672100928,582.9491086072567,37.15979904393121,38.07778650716489,119.85618193213436,0.54,0.46,0,1,0,165,30,0
68.82141418371127,579.0519763603613,443.0983978881529,137.75090783645228,117.83967148341723,392.3908906932328,0.7,0.68,0,1,2,331,21,0
500.472717848732,555.1441663710141,513.4583198740938,13.933534374224124,46.49419940082396,8.177249121458146,0.3,0.52,0,0,0,40,0,0
412.81392780884346,514.7285122150263,485.7279125477381,28.79690123643353,16.55182496193254,85.36275944425029,0.64,0.74,0,0,0,150,18,0
498.5693331686517,522.8681651151405,508.6490081977972,4.9148082888379,14.802687255486603,9.4961446910022,0.38,0.42,0,0,0,89,0,0
457.4196195818618,511.6875475260705,494.7230035113425,16.716080605162592,9.65838744684146,44.60954049736722,0.72,0.54,0,0,0,369,14,1
449.8941165101624,607.7047691846473,515.2386899166203,34.19063855211509,90.70556780193247,67.10508487255237,0.54,0.52,0,0,0,420,11,0
187.47316794481,519.4336560508353,441.65912929415504,103.53946983662134,17.947468698531907,314.0130194074934,0.7,0.58,0,0,0,130,7,0
398.6266254012024,1012.8034853661584,654.2947012114465,175.6699806701763,392.5931688861149,221.58369107884116,0.26,0.22,0,0,1,179,24,0
19.975202691365965,820.229051896219,480.2699349220122,246.7204952464715,328.25189923072577,472.0019499741272,0.56,0.44,0,0,0,377,34,0
501.1169892095816,508.8543092865652,504.9915903280087,1.7791059830926872,3.8327816812348487,3.904538395748716,0.52,0.5,0,0,0,72,2,0
414.9955778003279,648.2788851620496,460.5005416557648,52.23933582151967,200.8140912280155,32.4692161337062,0.32,0.44,1,0,0,404,24,0
498.4847131982833,834.8673439777472,534.9588439506115,85.67644709584563,329.85109801179226,6.531532767671592,0.12,0.54,0,0,0,102,5,0
19.94809354284727,1008.676603352504,446.1757042470734,269.32172938908485,500.58815281614295,488.14035699351376,0.7,0.54,0,0,0,433,12,0
25.52439366908935,489.8666858921527,417.5656439554043,119.2114104774077,27.557515820446667,436.7847764026167,0.84,0.68,0,0,0,415,24,0
401.42659860876336,1012.5963490053562,583.9347053964558,198.8884073906421,494.086395199061,117.08335519753176,0.46,0.32,1,0,1,109,125,0
52.361768467292286,515.2356543026843,426.9667463903133,146.0492290773176,8.008188627056597,454.86569720833546,0.74,0.52,0,0,0,428,5,0
430.09452407546326,487.78562883465486,458.7966388520658,18.568598573044785,29.463186428242352,28.22791833094925,0.5,0.6,0,0,0,257,38,0
502.2596310965032,512.5459768836828,507.69705296732633,2.3369632154127524,5.016281290455368,5.270064496724217,0.42,0.6,0,0,0,306,7,0
483.3942960172207,764.548897596748,577.0438253509456,62.53696817176269,206.63075341194804,74.52384816757927,0.18,0.48,0,1,0,289,27,0
383.44204986042905,806.4416957054533,500.1518610018948,102.7486530021106,319.8855013747192,103.11414447030506,0.42,0.72,0,0,3,157,13,1
202.9242439912166,520.5758437565368,447.4608674201652,98.4440453079704,17.24252741113486,300.4090723541853,0.7,0.56,0,0,0,204,6,0
438.8087462504939,578.8952125476313,468.0106187193819,30.908901391650254,119.49279571464064,20.59367058249677,0.4,0.46,1,0,1,331,37,0
157.19401351862444,514.502590952409,411.4111013497298,100.86792757414612,58.46528066068152,298.8432967731031,0.74,0.76,0,0,0,340,34,0
379.40573781722287,962.0933698017524,564.6033866256222,181.5460855222235,454.7386713634005,127.948960621129,0.34,0.34,1,0,1,286,16,0
427.83643137271855,781.6257121447848,539.0389123879228,109.58057658556734,274.52023940309243,79.26904136897377,0.34,0.4,1,0,1,304,12,0
54.524249775809096,623.743470393231,464.26061009967685,181.49460141095005,95.5298481318141,473.68937248560775,0.68,0.64,0,1,2,213,18,0
500.0672001214429,511.7167016025208,505.7721729795242,2.6315472229109207,6.371181566345683,5.278319914732208,0.44,0.52,0,0,0,370,4,0
501.365903477517,513.986945205687,507.9865338847578,3.26074673290854,5.9505003059848605,6.670541422185124,0.52,0.46,0,0,0,272,5,0
445.02361980329886,525.9830382542369,500.51476134179086,17.57781532473972,20.40988942008687,60.5495290308512,0.64,0.62,0,0,0,404,12,0
388.71393683053856,1011.8582409155206,504.8994833199585,170.93272402464308,582.9035135071957,40.2407905777863,0.26,0.44,1,0,1,202,28,0
20.07144668414416,499.2736216198821,430.6629815602757,117.67958117487156,30.74868517047514,448.4534897652628,0.84,0.58,0,0,0,431,27,0
135.1814570556058,565.3171388403175,439.9875013491816,115.35932983314088,108.80736343565876,321.3283183490529,0.7,0.66,0,0,2,39,26,0
159.0784306001108,579.1087295050047,433.62532053695054,73.87310342982471,141.55240125048635,278.4778976544076,0.64,0.44,1,0,0,48,18,0
338.08604867665304,509.04187490852337,497.227406283844,29.486374441955416,5.030647652823063,165.92517857904727,0.88,0.46,0,0,0,342,6,0
205.4328562573768,590.001846545791,486.8920389247504,124.80433839485796,29.3848376776366,355.1841526107776,0.66,0.56,0,1,2,70,14,0
437.0386778735912,696.3156289107445,501.9570807716853,55.37410025782856,198.0572739058166,61.21967713133671,0.46,0.66,0,0,3,80,11,1
484.12660466625096,1013.590659458886,624.9548040538668,167.79870403794357,481.9020514281774,47.56200336445761,0.3,0.3,0,0,0,372,47,0
80.18292864916582,512.5185523652416,428.7857031733972,142.16950227117786,7.715352791161649,424.6202709249141,0.74,0.48,0,0,0,240,7,0
446.4222769879641,797.8583515768894,543.6584112679105,100.21406759855948,290.5030248473922,60.93304974153307,0.28,0.36,1,0,1,47,12,0
381.1791336499541,1013.4700520128472,537.4623841050789,200.13845026918875,585.3080300430918,46.982888319801305,0.3,0.32,1,0,1,109,91,0
488.8113984398313,791.4746139389082,561.173838028858,96.31090350718851,279.0069713431245,23.65624415595238,0.26,0.44,0,0,0,289,7,0
425.03593927096426,774.5369156970687,520.2037358889653,115.040516025932,321.41707623450964,28.083900191594807,0.34,0.38,1,0,1,128,109,0
463.9285512305418,519.3132373859667,503.4392058867753,12.982015117882542,11.016094327985115,44.36859182743973,0.72,0.66,0,0,0,94,19,0
203.8679673682905,515.1780615501525,466.5016628782562,92.90834114282428,8.648157712839293,302.6619364690227,0.82,0.56,0,0,0,36,3,0
389.6006311919863,969.7197321511252,567.6412624996636,174.46248096774738,462.6040806604436,117.51502029869528,0.3,0.3,1,0,1,258,14,0
501.2998308163697,510.4669349246186,505.6306749740906,2.779163700692626,4.66085630774694,4.506247800501967,0.5,0.4,0,0,0,23,9,0
446.44419184602566,705.7053236587175,503.33138114878193,53.74433661439238,206.69996061950584,52.561171193186,0.32,0.6,0,0,3,173,10,1
524.1619523309785,581.0386916274697,558.3458825694723,16.163350027778833,20.796997282361417,36.079742014129806,0.52,0.3,0,0,0,7,20,0
51.92224826888191,511.1228988520125,458.1225170858286,125.1245583302081,5.220844803011175,453.9798057801194,0.86,0.42,0,0,0,146,4,0
515.3659642104523,566.0763164657662,534.084809065785,14.467659320402388,34.00621485123611,16.70413740407787,0.42,0.26,0,0,0,10,27,0
268.8144200405304,527.1915229503517,456.0924683683949,80.9769691335755,25.915189151798074,232.4619137580232,0.68,0.54,0,0,0,21,7,0
215.3063015937374,583.8875483219934,460.6720489852589,108.17430129408928,78.7100382102775,289.8712085179785,0.68,0.66,0,1,2,131,12,0
61.67266667393624,575.422461614084,448.3666703427371,143.15983935646466,84.57786833045702,429.17192660969073,0.68,0.66,0,1,2,117,24,0
449.8768694658903,751.5232568188612,527.0899686293832,94.133823115708,265.5434806734784,36.10290667949255,0.3,0.38,1,0,1,38,14,0
424.82701948405406,744.0488906000907,504.8376238614076,69.31979828446455,242.2031312094158,77.0187399066208,0.42,0.64,0,0,3,134,10,0
20.08978617177932,783.9759564858749,376.5835534875559,180.35930500024952,395.87874661084726,368.0074237032483,0.78,0.44,1,0,0,95,16,0
499.05867823338417,516.6003546241875,507.6725405944933,4.449931205175857,9.79579505542165,7.745881335381682,0.42,0.6,0,0,0,151,0,0
281.5814762017165,579.4526145844342,522.274367872063,75.25840477605969,28.35302158116121,269.51811680155646,0.76,0.48,0,1,2,287,39,0
497.47414943675454,516.0370716021373,509.123881001203,4.456513331537419,7.061119786868403,11.501802378514355,0.48,0.52,0,0,0,198,0,0
497.93256554703714,514.6106947121627,503.7626482709192,3.942149634315608,11.954863340541465,4.723265824584132,0.38,0.5,0,1,0,34,0,0
186.8488387085232,516.46126438569,444.5001959059124,105.74042964994652,10.334996841745124,319.2774288354217,0.72,0.52,0,0,0,340,8,0
499.5102822118074,514.9695158993677,507.96422273802966,3.757931390594529,6.511328787149125,8.947904900411174,0.56,0.44,0,0,0,355,2,0
38.7985390049636,511.1725961497163,416.1625255246087,150.49453637912623,8.166168570751779,464.2078885740009,0.72,0.54,0,0,0,389,8,0
497.6497532930557,747.0778406872055,520.8953153116988,46.55797239194398,239.37542889645212,10.05265849769762,0.1,0.54,0,0,0,257,3,0
437.8141980459801,494.1377496798176,466.5915317888023,17.88994639123164,28.63255445437062,27.69099717946688,0.5,0.66,1,0,0,11,38,0
504.2759184597336,512.8383734571396,508.3659728073082,2.1708775386770367,4.326471126730496,4.235983870675511,0.5,0.56,0,0,0,367,0,0
512.2262598882545,824.9668051109646,595.9470687845926,86.40662692066675,262.4071606241869,50.33338459852325,0.2,0.52,0,1,0,263,29,0
412.8878318943503,1013.1707187941822,573.7424711798545,187.08206692682452,524.2516824665996,76.03120443323229,0.38,0.34,1,0,1,390,23,0
