min,max,mean,min_median_distance,proportion_above_mean,min_index,previous_L,previous_R,label,file_num,index,previous_B
463.8842557303083,812.0240432983311,574.1792632204255,61.826280065629646,0.28,49,0,0,0,257,28,0
436.84029000687553,810.2774275158774,535.1794643512864,21.291102323095743,0.34,31,1,0,1,235,38,0
500.9402482379065,849.4626412758437,531.3615444725912,5.4495139274442295,0.12,33,0,0,0,334,5,0
441.2104686261118,803.0858408390122,566.2908616307906,95.44341976028994,0.3,49,0,0,1,304,34,0
483.0197926793144,568.0461298386916,515.955887785979,24.870640701339084,0.36,17,0,0,0,377,24,0
502.1784142644983,511.8647507597426,506.2233598038477,3.67785490883216,0.4,28,0,0,0,236,4,0
24.68260095500553,608.3021927824221,464.0893321595865,552.2071262533478,0.68,3,0,1,2,303,42,0
213.8463859728992,491.813888959528,430.5223490858969,250.84281862120565,0.76,38,0,0,0,27,27,0
471.2791987707936,629.2131672100928,582.9491086072567,119.85618193213436,0.54,1,0,1,0,165,30,0
68.82141418371127,579.0519763603613,443.0983978881529,392.3908906932328,0.7,19,0,1,2,331,21,0
500.472717848732,555.1441663710141,513.4583198740938,8.177249121458146,0.3,41,0,0,0,40,0,0
412.81392780884346,514.7285122150263,485.7279125477381,85.36275944425029,0.64,1,0,0,0,150,18,0
498.5693331686517,522.8681651151405,508.6490081977972,9.4961446910022,0.38,49,0,0,0,89,0,0
457.4196195818618,511.6875475260705,494.7230035113425,44.60954049736722,0.72,4,0,0,0,369,14,1
449.8941165101624,607.7047691846473,515.2386899166203,67.10508487255237,0.54,33,0,0,0,420,11,0
187.47316794481,519.4336560508353,441.65912929415504,314.0130194074934,0.7,37,0,0,0,130,7,0
398.6266254012024,1012.8034853661584,654.2947012114465,221.58369107884116,0.26,49,0,0,1,179,24,0
19.975202691365965,820.229051896219,480.2699349220122,472.0019499741272,0.56,27,0,0,0,377,34,0
501.1169892095816,508.8543092865652,504.9915903280087,3.904538395748716,0.52,42,0,0,0,72,2,0
