,min,max,mean,sd,median,max_median_distance,min_median_distance,proportion_above_mean,min_index,max_index,crossings,proportion_increasing,previous_L,previous_R,label
0,515.5830842583996,515.5830842583996,515.5830842583996,0.0,515.5830842583996,0.0,0.0,0.0,0,0,0,0.0,0,0,0
1,495.5660437230303,495.5660437230303,495.5660437230303,0.0,495.5660437230303,0.0,0.0,0.0,0,0,0,0.0,1,0,1
2,496.2853785309017,496.2853785309017,496.2853785309017,0.0,496.2853785309017,0.0,0.0,0.0,0,0,0,0.0,1,0,0
3,515.3806111747348,515.3806111747348,515.3806111747348,0.0,515.3806111747348,0.0,0.0,0.0,0,0,0,0.0,0,0,0
4,524.4392636193189,524.4392636193189,524.4392636193189,0.0,524.4392636193189,0.0,0.0,0.0,0,0,0,0.0,0,0,0
5,510.8934635073974,510.8934635073974,510.8934635073974,0.0,510.8934635073974,0.0,0.0,0.0,0,0,0,0.0,0,0,0
6,507.5219276287786,507.5219276287786,507.5219276287786,0.0,507.5219276287786,0.0,0.0,0.0,0,0,0,0.0,0,0,0
7,510.2577379686829,510.2577379686829,510.2577379686829,0.0,510.2577379686829,0.0,0.0,0.0,0,0,0,0.0,1,0,1
8,494.4712380005906,494.4712380005906,494.4712380005906,0.0,494.4712380005906,0.0,0.0,0.0,0,0,0,0.0,0,0,0
9,504.04461676028336,504.04461676028336,504.04461676028336,0.0,504.04461676028336,0.0,0.0,0.0,0,0,0,0.0,0,0,0
10,505.63134003294255,505.63134003294255,505.63134003294255,0.0,505.63134003294255,0.0,0.0,0.0,0,0,0,0.0,0,0,0
11,520.9475837807506,520.9475837807506,520.9475837807506,0.0,520.9475837807506,0.0,0.0,0.0,0,0,0,0.0,0,1,2
12,519.7939205103598,519.7939205103598,519.7939205103598,0.0,519.7939205103598,0.0,0.0,0.0,0,0,0,0.0,1,0,1
13,548.0572564761437,548.0572564761437,548.0572564761437,0.0,548.0572564761437,0.0,0.0,0.0,0,0,0,0.0,0,1,2
14,481.0261025427232,481.0261025427232,481.0261025427232,0.0,481.0261025427232,0.0,0.0,0.0,0,0,0,0.0,0,0,0
15,464.34883297011135,464.34883297011135,464.34883297011135,0.0,464.34883297011135,0.0,0.0,0.0,0,0,0,0.0,0,0,2
16,505.7135159621331,505.7135159621331,505.7135159621331,0.0,505.7135159621331,0.0,0.0,0.0,0,0,0,0.0,0,0,0
17,547.2806655117743,547.2806655117743,547.2806655117743,0.0,547.2806655117743,0.0,0.0,0.0,0,0,0,0.0,0,0,0
18,497.2209551869712,497.2209551869712,497.2209551869712,0.0,497.2209551869712,0.0,0.0,0.0,0,0,0,0.0,1,0,1
19,508.5938235238152,508.5938235238152,508.5938235238152,0.0,508.5938235238152,0.0,0.0,0.0,0,0,0,0.0,0,1,2
20,521.7857527755295,521.7857527755295,521.7857527755295,0.0,521.7857527755295,0.0,0.0,0.0,0,0,0,0.0,0,0,0
21,465.14225336482974,465.14225336482974,465.14225336482974,0.0,465.14225336482974,0.0,0.0,0.0,0,0,0,0.0,0,0,0
22,492.5814837412144,492.5814837412144,492.5814837412144,0.0,492.5814837412144,0.0,0.0,0.0,0,0,0,0.0,0,1,2
23,510.6321819575082,510.6321819575082,510.6321819575082,0.0,510.6321819575082,0.0,0.0,0.0,0,0,0,0.0,0,0,0
24,506.7630908496587,506.7630908496587,506.7630908496587,0.0,506.7630908496587,0.0,0.0,0.0,0,0,0,0.0,0,0,0
25,524.3185188754414,524.3185188754414,524.3185188754414,0.0,524.3185188754414,0.0,0.0,0.0,0,0,0,0.0,0,0,0
26,497.21294987379815,497.21294987379815,497.21294987379815,0.0,497.21294987379815,0.0,0.0,0.0,0,0,0,0.0,0,0,0
27,510.1102005840227,510.1102005840227,510.1102005840227,0.0,510.1102005840227,0.0,0.0,0.0,0,0,0,0.0,0,0,0
28,569.9897278260515,569.9897278260515,569.9897278260515,0.0,569.9897278260515,0.0,0.0,0.0,0,0,0,0.0,1,0,1
29,508.8229866006375,508.8229866006375,508.8229866006375,0.0,508.8229866006375,0.0,0.0,0.0,0,0,0,0.0,1,0,1
30,506.77502072817657,506.77502072817657,506.77502072817657,0.0,506.77502072817657,0.0,0.0,0.0,0,0,0,0.0,1,0,1
31,538.2852123764917,538.2852123764917,538.2852123764917,0.0,538.2852123764917,0.0,0.0,0.0,0,0,0,0.0,0,0,0
32,536.7592748342664,536.7592748342664,536.7592748342664,0.0,536.7592748342664,0.0,0.0,0.0,0,0,0,0.0,0,0,0
33,493.4007425329801,493.4007425329801,493.4007425329801,0.0,493.4007425329801,0.0,0.0,0.0,0,0,0,0.0,0,0,0
34,509.1068598774895,509.1068598774895,509.1068598774895,0.0,509.1068598774895,0.0,0.0,0.0,0,0,0,0.0,0,0,0
35,506.04410957361006,506.04410957361006,506.04410957361006,0.0,506.04410957361006,0.0,0.0,0.0,0,0,0,0.0,0,0,0
36,520.8775095970964,520.8775095970964,520.8775095970964,0.0,520.8775095970964,0.0,0.0,0.0,0,0,0,0.0,0,1,2
37,486.7995096713228,486.7995096713228,486.7995096713228,0.0,486.7995096713228,0.0,0.0,0.0,0,0,0,0.0,0,0,2
38,513.3478975459449,513.3478975459449,513.3478975459449,0.0,513.3478975459449,0.0,0.0,0.0,0,0,0,0.0,0,1,2
39,511.3113746734825,511.3113746734825,511.3113746734825,0.0,511.3113746734825,0.0,0.0,0.0,0,0,0,0.0,0,0,0
40,511.6145025937375,511.6145025937375,511.6145025937375,0.0,511.6145025937375,0.0,0.0,0.0,0,0,0,0.0,0,0,0
41,507.4887737340021,507.4887737340021,507.4887737340021,0.0,507.4887737340021,0.0,0.0,0.0,0,0,0,0.0,0,0,0
42,494.04754994991015,494.04754994991015,494.04754994991015,0.0,494.04754994991015,0.0,0.0,0.0,0,0,0,0.0,0,0,0
43,507.65244185054826,507.65244185054826,507.65244185054826,0.0,507.65244185054826,0.0,0.0,0.0,0,0,0,0.0,0,0,0
44,470.1323252948232,470.1323252948232,470.1323252948232,0.0,470.1323252948232,0.0,0.0,0.0,0,0,0,0.0,0,0,0
45,510.8967470538265,510.8967470538265,510.8967470538265,0.0,510.8967470538265,0.0,0.0,0.0,0,0,0,0.0,0,0,0
46,515.3204036485341,515.3204036485341,515.3204036485341,0.0,515.3204036485341,0.0,0.0,0.0,0,0,0,0.0,1,0,1
47,507.6423183722997,507.6423183722997,507.6423183722997,0.0,507.6423183722997,0.0,0.0,0.0,0,0,0,0.0,1,0,1
48,512.7566698612773,512.7566698612773,512.7566698612773,0.0,512.7566698612773,0.0,0.0,0.0,0,0,0,0.0,1,0,1
49,505.77548670071394,505.77548670071394,505.77548670071394,0.0,505.77548670071394,0.0,0.0,0.0,0,0,0,0.0,0,0,0
50,516.455875875376,516.455875875376,516.455875875376,0.0,516.455875875376,0.0,0.0,0.0,0,0,0,0.0,0,0,0
51,488.4481038328047,488.4481038328047,488.4481038328047,0.0,488.4481038328047,0.0,0.0,0.0,0,0,0,0.0,0,0,0
52,463.1288477350538,463.1288477350538,463.1288477350538,0.0,463.1288477350538,0.0,0.0,0.0,0,0,0,0.0,0,0,0
53,518.3416394762337,518.3416394762337,518.3416394762337,0.0,518.3416394762337,0.0,0.0,0.0,0,0,0,0.0,0,0,0
54,504.0038666383783,504.0038666383783,504.0038666383783,0.0,504.0038666383783,0.0,0.0,0.0,0,0,0,0.0,0,0,0
55,498.7026204475686,498.7026204475686,498.7026204475686,0.0,498.7026204475686,0.0,0.0,0.0,0,0,0,0.0,0,0,0
56,521.0413157039125,521.0413157039125,521.0413157039125,0.0,521.0413157039125,0.0,0.0,0.0,0,0,0,0.0,0,1,2
57,507.7696350130312,507.7696350130312,507.7696350130312,0.0,507.7696350130312,0.0,0.0,0.0,0,0,0,0.0,0,1,2
58,502.1675115045814,502.1675115045814,502.1675115045814,0.0,502.1675115045814,0.0,0.0,0.0,0,0,0,0.0,0,0,0
59,519.3146664111639,519.3146664111639,519.3146664111639,0.0,519.3146664111639,0.0,0.0,0.0,0,0,0,0.0,0,0,0
60,520.666067335998,520.666067335998,520.666067335998,0.0,520.666067335998,0.0,0.0,0.0,0,0,0,0.0,0,0,0
61,504.5694476201882,504.5694476201882,504.5694476201882,0.0,504.5694476201882,0.0,0.0,0.0,0,0,0,0.0,0,0,0
62,519.6035966711742,519.6035966711742,519.6035966711742,0.0,519.6035966711742,0.0,0.0,0.0,0,0,0,0.0,0,1,0
63,561.5219538619997,561.5219538619997,561.5219538619997,0.0,561.5219538619997,0.0,0.0,0.0,0,0,0,0.0,0,0,0
64,507.04284465712647,507.04284465712647,507.04284465712647,0.0,507.04284465712647,0.0,0.0,0.0,0,0,0,0.0,0,0,0
65,516.3033489449253,516.3033489449253,516.3033489449253,0.0,516.3033489449253,0.0,0.0,0.0,0,0,0,0.0,0,0,0
66,510.76953579388953,510.76953579388953,510.76953579388953,0.0,510.76953579388953,0.0,0.0,0.0,0,0,0,0.0,0,0,0
