sd,max_median_distance,min_median_distance,min_index,max_index,previous_L,previous_R,previous_B,label,file_num,index
97.86161476949884,286.3135075023931,61.826280065629646,49,33,0,0,0,0,257,28
123.16927474207456,352.14603518590616,21.291102323095743,31,6,1,0,0,1,235,38
76.465644743415,343.072879110493,5.4495139274442295,33,49,0,0,0,0,334,5
105.44117990687116,266.4319524526105,95.44341976028994,49,23,0,0,0,1,304,34
20.3731266342054,60.155696458038165,24.870640701339084,17,37,0,0,0,0,377,24
1.841863511875228,6.008481586412131,3.67785490883216,28,10,0,0,0,0,236,4
194.3120371383724,31.412465574068733,552.2071262533478,3,33,0,1,0,2,303,42
56.14470958783752,28.82820986076865,217.4680094070198,7,19,0,0,1,3,496,11
80.65296707355323,27.12468436542315,250.84281862120565,38,31,0,0,0,0,27,27
20.89838174833572,87.62533757001148,29.078684814429664,47,43,0,0,0,0,518,6
37.15979904393121,38.07778650716489,119.85618193213436,1,19,0,1,0,0,165,30
137.75090783645228,117.83967148341723,392.3908906932328,19,41,0,1,0,2,331,21
13.933534374224124,46.49419940082396,8.177249121458146,41,5,0,0,0,0,40,0
28.79690123643353,16.55182496193254,85.36275944425029,1,49,0,0,0,0,150,18
18.08246491843539,19.87884082511613,82.99855907530963,21,28,0,0,0,3,613,9
4.9148082888379,14.802687255486603,9.4961446910022,49,7,0,0,0,0,89,0
16.716080605162592,9.65838744684146,44.60954049736722,4,28,0,0,1,0,369,14
34.19063855211509,90.70556780193247,67.10508487255237,33,16,0,0,0,0,420,11
103.53946983662134,17.947468698531907,314.0130194074934,37,21,0,0,0,0,130,7
175.6699806701763,392.5931688861149,221.58369107884116,49,29,0,0,0,1,179,24
246.7204952464715,328.25189923072577,472.0019499741272,27,39,0,0,0,0,377,34
1.7791059830926872,3.8327816812348487,3.904538395748716,42,31,0,0,0,0,72,2
52.23933582151967,200.8140912280155,32.4692161337062,15,1,1,0,0,0,404,24
57.52766296167849,50.01572169554731,194.8262677619108,9,18,0,0,1,3,448,13
85.67644709584563,329.85109801179226,6.531532767671592,11,48,0,0,0,0,102,5
269.32172938908485,500.58815281614295,488.14035699351376,31,47,0,0,0,0,433,12
119.2114104774077,27.557515820446667,436.7847764026167,46,35,0,0,0,0,415,24
198.8884073906421,494.086395199061,117.08335519753176,41,13,1,0,0,1,109,125
146.0492290773176,8.008188627056597,454.86569720833546,41,27,0,0,0,0,428,5
18.568598573044785,29.463186428242352,28.22791833094925,9,45,0,0,0,0,257,38
