Latency
0.523
0.531
0.540
0.585
0.498
0.542
1.028
0.598
0.492
0.482
0.409
0.689
0.682
0.524
0.748
0.829
0.898
0.923
0.733
0.872
0.613
0.632
0.523
0.500
0.485
0.624
0.591
0.426
0.481
0.492
0.401
0.420
0.401
0.401
0.462
0.371
0.407
0.390
0.450
0.390
0.407
0.314
0.400
0.497
0.531
0.540
0.585
0.460
0.542
0.991
0.598
0.492
0.482
0.409
0.689
0.682
0.524
0.748
0.829
0.898
0.923
0.733
1.003
0.613
0.632
0.523
0.391
0.485
0.541
0.591
0.426
0.481
0.492
0.401
0.420
0.401
0.401
0.462
0.371
0.407
0.390
0.450
0.390
0.407
0.314
0.386
