T,V,event
0.0,571.0,0
0.00011091169412571336,572.0,0
0.00022182338825142673,575.0,0
0.00033273508237714007,577.0,0
0.00044364677650285346,579.0,0
0.0005545584706285669,581.0,0
0.0006654701647542801,583.0,0
0.0007763818588799935,584.0,0
0.0008872935530057069,587.0,0
0.0009982052471314202,588.0,0
0.0011091169412571337,589.0,0
0.001220028635382847,591.0,0
0.0013309403295085603,591.0,0
0.0014418520236342738,592.0,0
0.001552763717759987,593.0,0
0.0016636754118857006,594.0,0
0.0017745871060114138,594.0,0
0.001885498800137127,595.0,0
0.0019964104942628404,595.0,0
0.002107322188388554,595.0,0
0.0022182338825142674,595.0,0
0.0023291455766399805,596.0,0
0.002440057270765694,596.0,0
0.002550968964891407,597.0,0
0.0026618806590171205,598.0,0
0.0027727923531428336,598.0,0
0.0028837040472685475,599.0,0
0.0029946157413942606,600.0,0
0.003105527435519974,600.0,0
0.003216439129645687,600.0,0
0.003327350823771401,600.0,0
0.003438262517897114,600.0,0
0.0035491742120228277,600.0,0
0.0036600859061485407,601.0,0
0.003770997600274254,600.0,0
0.0038819092943999677,600.0,0
0.003992820988525681,600.0,0
0.004103732682651394,600.0,0
0.004214644376777108,600.0,0
0.004325556070902821,600.0,0
0.004436467765028535,600.0,0
0.0045473794591542474,599.0,0
0.004658291153279961,599.0,0
0.0047692028474056744,598.0,0
0.004880114541531388,598.0,0
0.0049910262356571014,598.0,0
0.005101937929782814,596.0,0
0.005212849623908528,595.0,0
0.005323761318034241,595.0,0
0.005434673012159955,595.0,0
0.005545584706285667,594.0,0
0.005656496400411382,594.0,0
0.005767408094537095,593.0,0
0.005878319788662808,592.0,0
0.005989231482788521,591.0,0
0.006100143176914236,591.0,0
0.006211054871039948,590.0,0
0.006321966565165662,588.0,0
0.006432878259291374,588.0,0
0.006543789953417088,585.0,0
0.006654701647542802,585.0,0
0.006765613341668515,583.0,0
0.006876525035794228,582.0,0
0.006987436729919941,581.0,0
0.007098348424045655,580.0,0
0.007209260118171369,578.0,0
0.0073201718122970815,577.0,0
0.007431083506422795,576.0,0
0.007541995200548508,575.0,0
0.007652906894674222,573.0,0
0.0077638185887999355,572.0,0
0.007874730282925648,571.0,0
0.007985641977051362,571.0,0
0.008096553671177075,570.0,0
0.008207465365302789,569.0,0
0.008318377059428502,568.0,0
0.008429288753554216,568.0,0
0.008540200447679929,568.0,0
0.008651112141805643,568.0,0
0.008762023835931356,569.0,0
0.00887293553005707,569.0,0
0.008983847224182781,569.0,0
0.009094758918308495,571.0,0
0.00920567061243421,571.0,0
0.009316582306559922,572.0,0
0.009427494000685635,572.0,0
0.009538405694811349,573.0,0
0.009649317388937062,574.0,0
0.009760229083062776,575.0,0
0.00987114077718849,575.0,0
0.009982052471314203,577.0,0
0.010092964165439915,579.0,0
0.010203875859565628,579.0,0
0.010314787553691343,579.0,0
0.010425699247817055,582.0,0
0.010536610941942769,582.0,0
0.010647522636068482,583.0,0
0.010758434330194197,584.0,0
0.01086934602431991,585.0,0
0.010980257718445623,586.0,0
0.011091169412571334,588.0,0
0.01120208110669705,588.0,0
0.011312992800822763,589.0,0
0.011423904494948475,590.0,0
0.01153481618907419,591.0,0
0.011645727883199904,591.0,0
0.011756639577325615,593.0,0
0.01186755127145133,593.0,0
0.011978462965577042,594.0,0
0.012089374659702756,595.0,0
0.012200286353828471,595.0,0
0.012311198047954183,595.0,0
0.012422109742079896,595.0,0
0.012533021436205608,595.0,0
0.012643933130331323,595.0,0
0.012754844824457037,596.0,0
0.012865756518582749,595.0,0
0.012976668212708464,595.0,0
0.013087579906834176,596.0,0
0.01319849160095989,596.0,0
0.013309403295085604,595.0,0
0.013420314989211316,596.0,0
0.01353122668333703,596.0,0
0.013642138377462741,595.0,0
0.013753050071588457,596.0,0
0.01386396176571417,596.0,0
0.013974873459839882,595.0,0
0.014085785153965597,596.0,0
0.01419669684809131,596.0,0
0.014307608542217022,595.0,0
0.014418520236342738,596.0,0
0.014529431930468451,596.0,0
0.014640343624594163,596.0,0
0.014751255318719878,596.0,0
0.01486216701284559,597.0,0
0.014973078706971303,597.0,0
0.015083990401097015,597.0,0
0.01519490209522273,597.0,0
0.015305813789348444,597.0,0
0.015416725483474156,596.0,0
0.015527637177599871,596.0,0
0.015638548871725583,596.0,0
0.015749460565851296,596.0,0
0.01586037225997701,595.0,0
0.015971283954102723,595.0,0
0.016082195648228437,595.0,0
0.01619310734235415,595.0,0
0.016304019036479864,595.0,0
0.016414930730605577,595.0,0
0.01652584242473129,595.0,0
0.016636754118857004,595.0,0
0.016747665812982718,595.0,0
0.01685857750710843,595.0,0
0.016969489201234145,596.0,0
0.017080400895359858,596.0,0
0.01719131258948557,598.0,0
0.017302224283611285,600.0,0
0.017413135977737,600.0,0
0.017524047671862712,601.0,0
0.017634959365988422,604.0,0
0.01774587106011414,604.0,0
0.01785678275423985,606.0,0
0.017967694448365563,608.0,0
0.01807860614249128,608.0,0
0.01818951783661699,609.0,0
0.018300429530742703,611.0,0
0.01841134122486842,611.0,0
0.01852225291899413,612.0,0
0.018633164613119844,613.0,0
0.018744076307245557,613.0,0
0.01885498800137127,614.0,0
0.018965899695496984,614.0,0
0.019076811389622698,614.0,0
0.01918772308374841,613.0,0
0.019298634777874125,613.0,0
0.019409546471999838,612.0,0
0.019520458166125552,611.0,0
0.019631369860251265,611.0,0
0.01974228155437698,611.0,0
0.019853193248502692,610.0,0
0.019964104942628406,609.0,0
0.02007501663675412,608.0,0
0.02018592833087983,608.0,0
0.020296840025005546,607.0,0
0.020407751719131256,606.0,0
0.02051866341325697,604.0,0
0.020629575107382687,604.0,0
0.020740486801508397,603.0,0
0.02085139849563411,602.0,0
0.020962310189759827,601.0,0
0.021073221883885537,600.0,0
0.02118413357801125,600.0,0
0.021295045272136964,599.0,0
0.021405956966262678,597.0,0
0.021516868660388395,595.0,0
0.021627780354514105,595.0,0
0.02173869204863982,593.0,0
0.021849603742765532,591.0,0
0.021960515436891245,590.0,0
0.02207142713101696,588.0,0
0.02218233882514267,588.0,0
0.022293250519268386,585.0,0
0.0224041622133941,584.0,0
0.022515073907519813,583.0,0
0.022625985601645526,580.0,0
0.022736897295771236,579.0,0
0.02284780898989695,577.0,0
0.022958720684022667,575.0,0
0.02306963237814838,574.0,0
0.023180544072274094,572.0,0
0.023291455766399807,571.0,0
0.023402367460525517,569.0,0
0.02351327915465123,568.0,0
0.023624190848776944,567.0,0
0.02373510254290266,565.0,0
0.023846014237028375,563.0,0
0.023956925931154085,563.0,0
0.0240678376252798,561.0,0
0.024178749319405512,560.0,0
0.024289661013531225,559.0,0
0.024400572707656942,558.0,0
0.024511484401782656,557.0,0
0.024622396095908366,556.0,0
0.02473330779003408,555.0,0
0.024844219484159793,555.0,0
0.024955131178285503,553.0,0
0.025066042872411216,551.0,0
0.025176954566536933,551.0,0
0.025287866260662647,550.0,0
0.02539877795478836,547.0,0
0.025509689648914074,547.0,0
0.025620601343039784,545.0,0
0.025731513037165497,544.0,0
0.02584242473129121,543.0,0
0.025953336425416928,542.0,0
0.02606424811954264,540.0,0
0.02617515981366835,540.0,0
0.026286071507794065,538.0,0
0.02639698320191978,537.0,0
0.026507894896045492,536.0,0
0.02661880659017121,536.0,0
0.026729718284296922,535.0,0
0.026840629978422632,534.0,0
0.026951541672548346,532.0,0
0.02706245336667406,531.0,0
0.027173365060799773,531.0,0
0.027284276754925483,529.0,0
0.0273951884490512,528.0,0
0.027506100143176913,527.0,0
0.027617011837302627,526.0,0
0.02772792353142834,525.0,0
0.027838835225554054,524.0,0
0.027949746919679764,522.0,0
0.02806065861380548,520.0,0
0.028171570307931194,519.0,0
0.028282482002056908,517.0,0
0.02839339369618262,515.0,0
0.02850430539030833,513.0,0
0.028615217084434045,512.0,0
0.02872612877855976,510.0,0
0.028837040472685475,509.0,0
0.02894795216681119,508.0,0
0.029058863860936902,507.0,0
0.029169775555062612,505.0,0
0.029280687249188326,504.0,0
0.02939159894331404,504.0,0
0.029502510637439756,504.0,0
0.02961342233156547,503.0,0
0.02972433402569118,502.0,0
0.029835245719816893,502.0,0
0.029946157413942607,502.0,0
0.03005706910806832,503.0,0
0.03016798080219403,504.0,0
0.03027889249631975,504.0,0
0.03038980419044546,504.0,0
0.030500715884571174,505.0,0
0.030611627578696888,507.0,0
0.030722539272822598,508.0,0
0.03083345096694831,508.0,0
0.03094436266107403,510.0,0
0.031055274355199742,511.0,0
0.031166186049325455,512.0,0
0.031277097743451165,513.0,0
0.03138800943757688,515.0,0
0.03149892113170259,515.0,0
0.031609832825828306,516.0,0
0.03172074451995402,518.0,0
0.03183165621407973,518.0,0
0.031942567908205446,519.0,0
0.03205347960233116,519.0,0
0.03216439129645687,519.0,0
0.03227530299058259,519.0,0
0.0323862146847083,520.0,0
0.032497126378834014,520.0,0
0.03260803807295973,521.0,0
0.03271894976708544,521.0,0
0.032829861461211154,521.0,0
0.03294077315533687,521.0,0
0.03305168484946258,522.0,0
0.033162596543588295,521.0,0
0.03327350823771401,522.0,0
0.03338441993183972,522.0,0
0.033495331625965435,522.0,0
0.03360624332009115,522.0,0
0.03371715501421686,524.0,0
0.03382806670834257,524.0,0
0.03393897840246829,524.0,0
0.034049890096594,524.0,0
0.034160801790719716,525.0,0
0.03427171348484543,525.0,0
0.03438262517897114,526.0,0
0.03449353687309685,526.0,0
0.03460444856722257,527.0,0
0.034715360261348284,527.0,0
0.034826271955474,527.0,0
0.03493718364959971,527.0,0
0.035048095343725424,528.0,0
0.03515900703785113,529.0,0
0.035269918731976845,529.0,0
0.035380830426102565,529.0,0
0.03549174212022828,529.0,0
0.03560265381435399,530.0,0
0.0357135655084797,531.0,0
0.03582447720260541,531.0,0
0.035935388896731126,531.0,0
0.036046300590856846,532.0,0
0.03615721228498256,534.0,0
0.036268123979108266,534.0,0
0.03637903567323398,536.0,0
0.03648994736735969,536.0,0
0.036600859061485407,537.0,0
0.03671177075561112,539.0,0
0.03682268244973684,540.0,0
0.03693359414386255,541.0,0
0.03704450583798826,543.0,0
0.037155417532113974,544.0,0
0.03726632922623969,545.0,0
0.0373772409203654,547.0,0
0.037488152614491115,548.0,0
0.03759906430861683,549.0,0
0.03770997600274254,551.0,0
0.037820887696868255,552.0,0
0.03793179939099397,553.0,0
0.03804271108511968,555.0,0
0.038153622779245396,557.0,0
0.03826453447337111,558.0,0
0.03837544616749682,559.0,0
0.038486357861622536,560.0,0
0.03859726955574825,561.0,0
0.03870818124987396,563.0,0
0.038819092943999677,563.0,0
0.03893000463812539,564.0,0
0.039040916332251104,565.0,0
0.03915182802637682,566.0,0
0.03926273972050253,567.0,0
0.039373651414628244,568.0,0
0.03948456310875396,568.0,0
0.03959547480287967,568.0,0
0.039706386497005385,569.0,0
0.0398172981911311,570.0,0
0.03992820988525681,571.0,0
0.040039121579382525,571.0,0
0.04015003327350824,572.0,0
0.040260944967633945,572.0,0
0.04037185666175966,572.0,0
0.04048276835588538,572.0,0
0.04059368005001109,573.0,0
0.040704591744136806,573.0,0
0.04081550343826251,574.0,0
0.040926415132388226,573.0,0
0.04103732682651394,572.0,0
0.04114823852063966,572.0,0
0.041259150214765374,572.0,0
0.04137006190889109,572.0,0
0.041480973603016794,572.0,0
0.04159188529714251,572.0,0
0.04170279699126822,572.0,0
0.041813708685393934,571.0,0
0.041924620379519655,571.0,0
0.04203553207364537,570.0,0
0.042146443767771075,570.0,0
0.04225735546189679,569.0,0
0.0423682671560225,569.0,0
0.042479178850148215,569.0,0
0.04259009054427393,569.0,0
0.04270100223839964,568.0,0
0.042811913932525356,568.0,0
0.04292282562665107,568.0,0
0.04303373732077679,568.0,0
0.0431446490149025,568.0,0
0.04325556070902821,567.0,0
0.04336647240315392,566.0,0
0.04347738409727964,566.0,0
0.04358829579140535,566.0,0
0.043699207485531064,566.0,0
0.04381011917965678,566.0,0
0.04392103087378249,566.0,0
0.044031942567908204,566.0,0
0.04414285426203392,567.0,0
0.044253765956159624,567.0,0
0.04436467765028534,568.0,0
0.044475589344411065,568.0,0
0.04458650103853677,568.0,0
0.044697412732662485,569.0,0
0.0448083244267882,571.0,0
0.04491923612091391,571.0,0
0.045030147815039626,572.0,0
0.04514105950916534,573.0,0
0.04525197120329105,574.0,0
0.04536288289741676,575.0,0
0.04547379459154247,576.0,0
0.045584706285668186,576.0,0
0.0456956179797939,578.0,0
0.04580652967391961,579.0,0
0.045917441368045334,579.0,0
0.04602835306217105,580.0,0
0.04613926475629676,583.0,0
0.046250176450422474,583.0,0
0.04636108814454819,584.0,0
0.0464719998386739,587.0,0
0.046582911532799615,588.0,0
0.04669382322692532,590.0,0
0.046804734921051035,592.0,0
0.04691564661517675,594.0,0
0.04702655830930246,596.0,0
0.047137470003428175,599.0,0
0.04724838169755389,600.0,0
0.04735929339167961,602.0,0
0.04747020508580532,604.0,0
0.047581116779931036,605.0,0
0.04769202847405675,607.0,0
0.047802940168182456,608.0,0
0.04791385186230817,609.0,0
